Company Name,Skills Required,More Info
Surya Informatics Solutions Pvt. Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
GEMINI SOFTWARE SOLUTIONS,"python,svn,nosql,pythonscripting,git,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-software-solutions-gurgaon-4-to-7-yrs-jobid-QGkfZ0IeljpzpSvf__PLUS__uAgZw==&source=srp
Gemini Solutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
Ivan Infotech Pvt. Ltd.,"rest,python,security,debugging",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
"TRINITY TECHNOLOGY SOLUTIONS
     (More Jobs)","PYTHON,L2/L3",https://www.timesjobs.com/job-detail/python-automation-techstar-software-development-india-pvt-ltd-bengaluru-bangalore-chennai-hyderabad-secunderabad-7-to-12-yrs-jobid-thEuB3__SLASH____PLUS__ULlzpSvf__PLUS__uAgZw==&source=srp
east india securities ltd.,"python,hadoop,machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
Perfios Software Solutions Pvt. Ltd.,"python,java,scala",https://www.timesjobs.com/job-detail/python-developer-perfios-software-solutions-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-vxzXapFfNqVzpSvf__PLUS__uAgZw==&source=srp
JobsLo Consultants,"python,linux,windows,sql",https://www.timesjobs.com/job-detail/python-developer-jobslo-consultants-indore-2-to-3-yrs-jobid-XP1detWpoa5zpSvf__PLUS__uAgZw==&source=srp
sjain ventures,"python,webdeveloper,webservices",https://www.timesjobs.com/job-detail/python-intern-sjain-ventures-raipur-0-to-3-yrs-jobid-KmspiL9__SLASH__D9hzpSvf__PLUS__uAgZw==&source=srp
APPLYCUP HIRING SOLUTIONS LLP,"python,webtechnologies,webtechnologies",https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
